"Age","Salaire"
53.00,145.00
43.00,621.00
33.00,262.00
45.00,208.00
46.00,362.00
55.00,424.00
41.00,339.00
55.00,736.00
36.00,291.00
45.00,58.00
55.00,498.00
50.00,643.00
49.00,390.00
47.00,332.00
69.00,750.00
51.00,368.00
48.00,659.00
62.00,234.00
45.00,396.00
37.00,300.00
50.00,343.00
50.00,536.00
50.00,543.00
58.00,217.00
53.00,298.00
57.00,1103.00
53.00,406.00
61.00,254.00
47.00,862.00
56.00,204.00
44.00,206.00
46.00,250.00
58.00,21.00
48.00,298.00
38.00,350.00
74.00,800.00
60.00,726.00
32.00,370.00
51.00,536.00
50.00,291.00
40.00,808.00
61.00,543.00
63.00,149.00
56.00,350.00
45.00,242.00
61.00,198.00
70.00,213.00
59.00,296.00
57.00,317.00
69.00,482.00
44.00,155.00
56.00,802.00
50.00,200.00
56.00,282.00
43.00,573.00
48.00,388.00
52.00,250.00
62.00,396.00
48.00,572.00
